imageName	objPosFile	type	lens	microlens	mode	pixelSamples	fNumber	filmDiagonal	distance	orientation	height	PTR	defocus	diffraction	chromaticAberration	lookAtObject	viewpointId	description	filmDistance	lookAt	position	filmResolution	testFileName	trainvalFileName	
5281_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	104.542853	-1.500000	7.028235 8.436784 1.971495	0	false	false	16	1	View_1_radiance	3.021490	-22.567259 -26.374791 -1.500000	-12.887658 -28.885831 -1.500000	640 480	-	002535	
5282_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	104.542853	-1.500000	7.028235 8.436784 1.971495	0	false	false	16	1	View_1_mesh	3.021490	-22.567259 -26.374791 -1.500000	-12.887658 -28.885831 -1.500000	640 480	-	002535	
5283_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	234.257377	-1.500000	3.661908 -2.234112 -4.859903	0	false	false	5	2	View_2_radiance	3.021490	-14.195890 11.161982 -1.500000	-22.312382 5.320531 -1.500000	640 480	-	002542	
5284_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	234.257377	-1.500000	3.661908 -2.234112 -4.859903	0	false	false	5	2	View_2_mesh	3.021490	-14.195890 11.161982 -1.500000	-22.312382 5.320531 -1.500000	640 480	-	002542	
5285_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	148.228174	-1.500000	-14.531182 3.633509 3.554117	0	false	false	9	3	View_3_radiance	3.021490	-33.558295 37.214299 -1.500000	-28.292917 28.712782 -1.500000	640 480	-	002502	
5286_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	148.228174	-1.500000	-14.531182 3.633509 3.554117	0	false	false	9	3	View_3_mesh	3.021490	-33.558295 37.214299 -1.500000	-28.292917 28.712782 -1.500000	640 480	-	002502	
5287_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	174.359371	-1.500000	2.374590 0.864935 -2.510138	0	false	false	20	4	View_4_radiance	3.021490	-23.044490 -17.939027 -1.500000	-22.061604 -27.890607 -1.500000	640 480	000037	-	
5288_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	174.359371	-1.500000	2.374590 0.864935 -2.510138	0	false	false	20	4	View_4_mesh	3.021490	-23.044490 -17.939027 -1.500000	-22.061604 -27.890607 -1.500000	640 480	000037	-	
5289_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	3.591412	-1.500000	-7.110296 1.654079 -2.870658	0	false	false	5	5	View_5_radiance	3.021490	-14.195890 11.161982 -1.500000	-13.569481 21.142344 -1.500000	640 480	000783	-	
5290_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	3.591412	-1.500000	-7.110296 1.654079 -2.870658	0	false	false	5	5	View_5_mesh	3.021490	-14.195890 11.161982 -1.500000	-13.569481 21.142344 -1.500000	640 480	000783	-	
5291_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	272.790590	-1.500000	-7.193775 -5.471725 1.679567	0	false	false	6	6	View_6_radiance	3.021490	-13.403409 39.633824 -1.500000	-23.391551 40.120682 -1.500000	640 480	-	003008	
5292_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	272.790590	-1.500000	-7.193775 -5.471725 1.679567	0	false	false	6	6	View_6_mesh	3.021490	-13.403409 39.633824 -1.500000	-23.391551 40.120682 -1.500000	640 480	-	003008	
5293_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	287.488851	-1.500000	-16.967255 7.709104 -0.312988	0	false	false	3	7	View_7_radiance	3.021490	-15.204060 -17.558639 -1.500000	-24.741814 -14.553437 -1.500000	640 480	000334	-	
5294_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	287.488851	-1.500000	-16.967255 7.709104 -0.312988	0	false	false	3	7	View_7_mesh	3.021490	-15.204060 -17.558639 -1.500000	-24.741814 -14.553437 -1.500000	640 480	000334	-	
5295_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	221.460905	-1.500000	-11.325834 6.292043 -4.641947	0	false	false	5	8	View_8_radiance	3.021490	-14.195890 11.161982 -1.500000	-20.816979 3.667906 -1.500000	640 480	-	001443	
5296_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	221.460905	-1.500000	-11.325834 6.292043 -4.641947	0	false	false	5	8	View_8_mesh	3.021490	-14.195890 11.161982 -1.500000	-20.816979 3.667906 -1.500000	640 480	-	001443	
5297_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	59.948814	-1.500000	11.474404 -8.532952 0.634455	0	false	false	13	9	View_9_radiance	3.021490	-7.884960 -11.391364 -1.500000	0.770824 -6.383629 -1.500000	640 480	-	002378	
5298_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	59.948814	-1.500000	11.474404 -8.532952 0.634455	0	false	false	13	9	View_9_mesh	3.021490	-7.884960 -11.391364 -1.500000	0.770824 -6.383629 -1.500000	640 480	-	002378	
5299_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	209.083873	-1.500000	-15.771986 6.128973 -0.244367	0	false	false	6	10	View_10_radiance	3.021490	-13.403409 39.633824 -1.500000	-18.264304 30.894734 -1.500000	640 480	000342	-	
5300_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	209.083873	-1.500000	-15.771986 6.128973 -0.244367	0	false	false	6	10	View_10_mesh	3.021490	-13.403409 39.633824 -1.500000	-18.264304 30.894734 -1.500000	640 480	000342	-	
5301_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	273.333682	-1.500000	-6.513707 -7.662265 -1.497059	0	false	false	17	11	View_11_radiance	3.021490	-20.268600 41.057440 -1.500000	-30.251678 41.638949 -1.500000	640 480	-	001983	
5302_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	273.333682	-1.500000	-6.513707 -7.662265 -1.497059	0	false	false	17	11	View_11_mesh	3.021490	-20.268600 41.057440 -1.500000	-30.251678 41.638949 -1.500000	640 480	-	001983	
5303_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	316.243223	-1.500000	12.332340 -1.347429 3.334991	0	false	false	3	12	View_12_radiance	3.021490	-15.204060 -17.558639 -1.500000	-22.120045 -10.335817 -1.500000	640 480	-	001437	
5304_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	316.243223	-1.500000	12.332340 -1.347429 3.334991	0	false	false	3	12	View_12_mesh	3.021490	-15.204060 -17.558639 -1.500000	-22.120045 -10.335817 -1.500000	640 480	-	001437	
5305_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	322.655111	-1.500000	-2.071295 -2.334892 -3.176939	0	false	false	15	13	View_13_radiance	3.021490	-21.018492 -28.821829 -1.500000	-27.084607 -20.871845 -1.500000	640 480	000560	-	
5306_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	322.655111	-1.500000	-2.071295 -2.334892 -3.176939	0	false	false	15	13	View_13_mesh	3.021490	-21.018492 -28.821829 -1.500000	-27.084607 -20.871845 -1.500000	640 480	000560	-	
5307_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	302.947501	-1.500000	9.979164 2.137795 3.452202	0	false	false	5	14	View_14_radiance	3.021490	-14.195890 11.161982 -1.500000	-22.587583 16.600686 -1.500000	640 480	-	-	
5308_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	302.947501	-1.500000	9.979164 2.137795 3.452202	0	false	false	5	14	View_14_mesh	3.021490	-14.195890 11.161982 -1.500000	-22.587583 16.600686 -1.500000	640 480	-	-	
5309_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	62.720150	-1.500000	15.281579 2.783865 -1.281355	0	false	false	8	15	View_15_radiance	3.021490	-21.786462 -35.963022 -1.500000	-12.898677 -31.379652 -1.500000	640 480	000508	-	
5310_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	62.720150	-1.500000	15.281579 2.783865 -1.281355	0	false	false	8	15	View_15_mesh	3.021490	-21.786462 -35.963022 -1.500000	-12.898677 -31.379652 -1.500000	640 480	000508	-	
5311_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	290.630851	-1.500000	1.338480 -6.122115 -3.971751	0	false	false	4	16	View_16_radiance	3.021490	-13.680886 26.897619 -1.500000	-23.039585 30.421075 -1.500000	640 480	-	001911	
5312_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	290.630851	-1.500000	1.338480 -6.122115 -3.971751	0	false	false	4	16	View_16_mesh	3.021490	-13.680886 26.897619 -1.500000	-23.039585 30.421075 -1.500000	640 480	-	001911	
5313_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	329.147163	-1.500000	10.616654 -8.051561 -1.891555	0	false	false	3	17	View_17_radiance	3.021490	-15.204060 -17.558639 -1.500000	-20.332407 -8.973766 -1.500000	640 480	-	002221	
5314_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	329.147163	-1.500000	10.616654 -8.051561 -1.891555	0	false	false	3	17	View_17_mesh	3.021490	-15.204060 -17.558639 -1.500000	-20.332407 -8.973766 -1.500000	640 480	-	002221	
5315_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	10.950045	-1.500000	14.764511 2.185587 -0.431499	0	false	false	10	18	View_18_radiance	3.021490	-23.424992 -22.214781 -1.500000	-21.525461 -12.396849 -1.500000	640 480	-	001674	
5316_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	10.950045	-1.500000	14.764511 2.185587 -0.431499	0	false	false	10	18	View_18_mesh	3.021490	-23.424992 -22.214781 -1.500000	-21.525461 -12.396849 -1.500000	640 480	-	001674	
5317_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	297.694779	-1.500000	-2.580883 4.713560 2.814096	0	false	false	16	19	View_19_radiance	3.021490	-22.567259 -26.374791 -1.500000	-31.421619 -21.727177 -1.500000	640 480	-	-	
5318_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	297.694779	-1.500000	-2.580883 4.713560 2.814096	0	false	false	16	19	View_19_mesh	3.021490	-22.567259 -26.374791 -1.500000	-31.421619 -21.727177 -1.500000	640 480	-	-	
5319_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	231.233325	-1.500000	7.104644 6.455579 -2.209223	0	false	false	14	20	View_20_radiance	3.021490	-9.305254 27.974383 -1.500000	-17.102277 21.712879 -1.500000	640 480	000331	-	
5320_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	231.233325	-1.500000	7.104644 6.455579 -2.209223	0	false	false	14	20	View_20_mesh	3.021490	-9.305254 27.974383 -1.500000	-17.102277 21.712879 -1.500000	640 480	000331	-	
5321_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	92.555497	-1.500000	9.261830 5.745404 0.543612	0	false	false	16	21	View_21_radiance	3.021490	-22.567259 -26.374791 -1.500000	-12.577204 -26.820661 -1.500000	640 480	-	000909	
5322_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	92.555497	-1.500000	9.261830 5.745404 0.543612	0	false	false	16	21	View_21_mesh	3.021490	-22.567259 -26.374791 -1.500000	-12.577204 -26.820661 -1.500000	640 480	-	000909	
5323_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	89.476751	-1.500000	7.700802 4.670054 3.456406	0	false	false	5	22	View_22_radiance	3.021490	-14.195890 11.161982 -1.500000	-4.196307 11.253305 -1.500000	640 480	-	-	
5324_city_3_placement_2_mesh	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	89.476751	-1.500000	7.700802 4.670054 3.456406	0	false	false	5	22	View_22_mesh	3.021490	-14.195890 11.161982 -1.500000	-4.196307 11.253305 -1.500000	640 480	-	-	
5325_city_3_placement_2_radiance	AssetPos_City_3_Placement_2.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	149.725534	-1.500000	14.819171 -1.039886 -3.442432	0	false	false	9	23	View_23_radiance	3.021490	-33.558295 37.214299 -1.500000	-28.516867 28.578096 -1.500000	640 480	-	001183	
