imageName	objPosFile	type	lens	microlens	mode	pixelSamples	fNumber	filmDiagonal	distance	orientation	height	PTR	defocus	diffraction	chromaticAberration	lookAtObject	viewpointId	description	filmDistance	lookAt	position	filmResolution	testFileName	trainvalFileName	
8161_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	104.542853	-1.500000	7.028235 8.436784 1.971495	0	false	false	16	1	View_1_radiance	3.021490	-29.425742 4.440887 -1.500000	-19.746141 1.929847 -1.500000	640 480	-	002460	
8162_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	104.542853	-1.500000	7.028235 8.436784 1.971495	0	false	false	16	1	View_1_mesh	3.021490	-29.425742 4.440887 -1.500000	-19.746141 1.929847 -1.500000	640 480	-	002460	
8163_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	234.257377	-1.500000	3.661908 -2.234112 -4.859903	0	false	false	5	2	View_2_radiance	3.021490	-5.137325 21.774243 -1.500000	-13.253817 15.932791 -1.500000	640 480	-	-	
8164_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	234.257377	-1.500000	3.661908 -2.234112 -4.859903	0	false	false	5	2	View_2_mesh	3.021490	-5.137325 21.774243 -1.500000	-13.253817 15.932791 -1.500000	640 480	-	-	
8165_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	148.228174	-1.500000	-14.531182 3.633509 3.554117	0	false	false	9	3	View_3_radiance	3.021490	-5.665694 -3.811763 -1.500000	-0.400316 -12.313280 -1.500000	640 480	-	000961	
8166_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	148.228174	-1.500000	-14.531182 3.633509 3.554117	0	false	false	9	3	View_3_mesh	3.021490	-5.665694 -3.811763 -1.500000	-0.400316 -12.313280 -1.500000	640 480	-	000961	
8167_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	174.359371	-1.500000	2.374590 0.864935 -2.510138	0	false	false	20	4	View_4_radiance	3.021490	-4.279668 -12.867215 -1.500000	-3.296782 -22.818795 -1.500000	640 480	-	002137	
8168_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	174.359371	-1.500000	2.374590 0.864935 -2.510138	0	false	false	20	4	View_4_mesh	3.021490	-4.279668 -12.867215 -1.500000	-3.296782 -22.818795 -1.500000	640 480	-	002137	
8169_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	3.591412	-1.500000	-7.110296 1.654079 -2.870658	0	false	false	5	5	View_5_radiance	3.021490	-5.137325 21.774243 -1.500000	-4.510916 31.754604 -1.500000	640 480	-	002842	
8170_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	3.591412	-1.500000	-7.110296 1.654079 -2.870658	0	false	false	5	5	View_5_mesh	3.021490	-5.137325 21.774243 -1.500000	-4.510916 31.754604 -1.500000	640 480	-	002842	
8171_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	272.790590	-1.500000	-7.193775 -5.471725 1.679567	0	false	false	6	6	View_6_radiance	3.021490	-6.415131 12.775759 -1.500000	-16.403272 13.262616 -1.500000	640 480	-	-	
8172_city_4_placement_3_mesh	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	mesh	1024	2.800000	2.420000	10	272.790590	-1.500000	-7.193775 -5.471725 1.679567	0	false	false	6	6	View_6_mesh	3.021490	-6.415131 12.775759 -1.500000	-16.403272 13.262616 -1.500000	640 480	-	-	
8173_city_4_placement_3_radiance	AssetPos_City_4_Placement_3.json	pinhole	dgauss.22deg.3.0mm	0 0	radiance	1024	2.800000	2.420000	10	287.488851	-1.500000	-16.967255 7.709104 -0.312988	0	false	false	3	7	View_7_radiance	3.021490	-41.776160 -0.898866 -1.500000	-51.313915 2.106336 -1.500000	640 480	-	002227	
